folio_name	Z30_SUB_LIBRARY	Z30_ITEM_STATUS
Non-circulating	ACASP	02
Non-circulating	ACASP	03
Non-circulating	ACASP	01
Non-circulating	ACDEP	02
Non-circulating	ACDEP	03
Standard Loan	ACDEP	01
Standard Loan	ACDEP	16
1 Week	ACDEP	10
1 Week	ACDEP	18
Non-circulating	ACFST	02
Non-circulating	ACFST	03
Standard Loan	ACFST	01
Standard Loan	ACFST	16
Reserve 4 Hour	ACFST	22
Reserve 1 Day	ACFST	23
Reserve 3 Day	ACFST	24
Reserve 1 Week	ACFST	25
Reserve 1 Week	ACFST	26
Semester	ACFST	15
1 Week	ACFST	10
1 Week	ACFST	18
Internet	ACFST	04
Equipment 4 Hour	ACMED	22
Equipment 1 Week	ACMED	01
Non-circulating	ACMUS	03
Standard Loan	ACMUS	01
Standard Loan	ACMUS	16
Reserve 4 Hour	ACMUS	22
Reserve 1 Day	ACMUS	23
Reserve 3 Day	ACMUS	24
Reserve 1 Week	ACMUS	25
Reserve 1 Week	ACMUS	26
1 Week	ACMUS	10
1 Week	ACMUS	18
4 Week	ACMUS	17
Internet	ACMUS	04
Non-circulating	ACSCI	02
Non-circulating	ACSCI	03
Standard Loan	ACSCI	01
Standard Loan	ACSCI	16
Reserve 4 Hour	ACSCI	22
Reserve 1 Day	ACSCI	23
Reserve 3 Day	ACSCI	24
Reserve 1 Week	ACSCI	25
Reserve 1 Week	ACSCI	26
1 Week	ACSCI	10
1 Week	ACSCI	18
Internet	ACSCI	04
Non-circulating	HCASC	02
Standard Loan	HCASC	01
Internet	HCASC	04
4 Week	HCFP	10
Non-circulating	HCLIB	02
Standard Loan	HCLIB	01
Reserve 4 Hour	HCLIB	09
Reserve 1 Day	HCLIB	13
Reserve 3 Day	HCLIB	14
4 Week	HCLIB	10
4 Week	HCLIB	19
Internet	HCLIB	04
1 Year	HCLIB	20
Non-circulating	HCMED	02
Standard Loan	HCMED	01
4 Week	HCMED	10
Standard Loan	HCFP	01
Non-circulating	MHASC	02
Non-circulating	MHKSM	02
Non-circulating	MHLIB	02
Standard Loan	MHLIB	01
Reserve 3 Day	MHLIB	13
Reserve 4 Hour	MHLIB	11
1 Week	MHLIB	18
2 Weel	MHLIB	09
1 Week	MHLIB	10
4 Week	MHLIB	14
4 Week	MHLIB	16
Internet	MHLIB	04
Equipment 3 Day	MHLIB	08
Equipment 3 Day	MHLIB	15
Equipment 4 Hour	MHLIB	07
Equipment 4 Hour	MHLIB	17
Equipment 4 Hour	MHLRC	07
Equipment 4 Hour	MHLRC	17
Equipment 4 Hour	MHPSL	07
Equipment 4 Hour	MHPSL	17
Equipment 3 Day	MHLIB	21
Standard Loan	MHLRC	01
Reserve 4 Hour	MHLRC	11
1 Week	MHLRC	18
Internet	MHLRC	04
Non-circulating	MHPSL	02
Standard Loan	MHPSL	01
Reserve 3 Day	MHPSL	13
Reserve 4 Hour	MHPSL	11
4 Week	MHPSL	16
4 Week	MHPSL	14
Equipment 3 Day	MHPSL	08
Equipment 3 Day	MHPSL	15
Equipment 1 Week	MHPSL	19
Equipment 3 Day	MHPSL	21
Equipment 3 Day	MHLRC	08
Equipment 3 Day	MHLRC	15
Equipment 3 Day	MHLRC	21
Non-circulating	SCANN	02
Non-circulating	SCANN	03
Standard Loan	SCANN	01
Standard Loan	SCANN	05
Reserve 4 Hour	SCANN	20
Reserve 4 Hour	SCANN	27
Reserve 4 Hour, due at closing	SCANN	21
Reserve 1 Week	SCANN	25
Semester	SCANN	66
4 Week	SCANN	10
1 Week	SCANN	11
1 Week	SCANN	12
1 Week	SCANN	13
Internet	SCANN	04
Non-circulating	SCHIL	02
Non-circulating	SCHIL	03
Standard Loan	SCHIL	01
Reserve 4 Hour	SCHIL	20
Reserve 4 Hour, due at closing	SCHIL	21
Reserve 1 Week	SCHIL	25
Semester	SCHIL	66
4 Week	SCHIL	10
1 Week	SCHIL	11
Limited	SCHIL	12
4 Week	SCHIL	13
Internet	SCHIL	04
Non-circulating	SCJOS	02
Non-circulating	SCJOS	03
Standard Loan	SCJOS	01
Reserve 4 Hour	SCJOS	20
Reserve 1 Week	SCJOS	25
Semester	SCJOS	66
4 Week	SCJOS	10
Limited	SCJOS	11
Limited	SCJOS	12
