Campuses Code	Z30_SUB_LIBRARY	Z30_COLLECTION	folio_code
AC	ACASP	AFAS	AFAS
AC	ACASP	AFASD	AFASD
AC	ACASP	AFASF	AFASF
AC	ACASP	AFASH	AFASH
AC	ACASP	AFASL	AFASL
AC	ACASP	AFASO	AFASO
AC	ACASP	AFASR	AFASR
AC	ACASP	AFAST	AFAST
AC	ACASP	AFASV	AFASV
AC	ACASP	AFASW	AFASW
AC	ACDEP	ACDEP	ACDEP
AC	ACDEP	ACDPM	ACDPM
AC	ACFST	AFAV	AFEQP
AC	ACFST	AFBLU	AFMED
AC	ACFST	AFDRM	AFMED
AC	ACFST	AFDVD	AFMED
AC	ACFST	AFMAP	AFMAP
AC	ACFST	AFMIC	AFMIC
AC	ACFST	AFPER	AFRST
AC	ACFST	AFREF	AFREF
AC	ACFST	AFREP	AFREP
AC	ACFST	AFRES	AFRES
AC	ACFST	AFRFD	AFRFD
AC	ACFST	AFROM	AFMED
AC	ACFST	AFRST	AFRST
AC	ACFST	AFVHS	AFMED
AC	ACFAY	ACFAY	ACFAY
AC	ACMMS	AFEQP	ACMMS
AC	ACMUS	AMRES	AMRES
AC	ACMUS	AMRST	AMRST
AC	ACMUS	AMSCO	AMSCO
AC	ACMUS	AMSD	AMSD
AC	ACMUS	AMSTO	AMSTO
AC	ACMUS	AMUS	AMUS
AC	ACMUS	AMUSP	AMUSP
AC	ACMUS	AMUSR	AMUSR
AC	ACRUS	AFRAL	AFRAL
AC	ACRUS	AFRFL	AFRFL
AC	ACRUS	AFRIV	AFRIV
AC	ACRUS	AFRJP	AFRJP
AC	ACRUS	AFRKU	AFRKU
AC	ACRUS	AFRLA	AFRLA
AC	ACRUS	AFRSA	AFRSA
AC	ACRUS	AFRTA	AFRTA
AC	ACRUS	AFRUC	AFRUC
AC	ACRUS	AFRUF	AFRUF
AC	ACRUS	AFRUR	AFRUR
AC	ACRUS	AFRUS	AFRUS
AC	ACSCI	ASCIR	ASCIR
AC	ACSCI	ASCIV	ASCIV
MH	MHASC	MASRF	MASRF
MH	MHASC	MDARC	MDARC
MH	MHASC	MDFAL	MDFAL
MH	MHASC	MDLBC	MDLBC
MH	MHASC	MMBFG	MMBFG
MH	MHASC	MMTCU	MMTCU
MH	MHASC	MMTDA	MMTDA
MH	MHASC	MMTJU	MMTJU
MH	MHASC	MMTLC	MMTLC
MH	MHASC	MMTXT	MMTXT
MH	MHLIB	MDHON	MDHON
MH	MHLIB	MDMST	MDMST
MH	MHLIB	MHDIA	MHDIA
MH	MHLIB	MHMFI	MHMFI
MH	MHLIB	MLEIB	MLEIB
MH	MHLIB	MLEIF	MLEIF
MH	MHLIB	MMAIN	MMAIN
MH	MHLIB	MMAUC	MMAUC
MH	MHLIB	MMAUS	MMAUS
MH	MHLIB	MMCUT	MMCUT
MH	MHLIB	MMFAC	MMFAC
MH	MHLIB	MMDSP	MMDSP
MH	MHLIB	MMIC	MMIC
MH	MHLIB	MMNSP	MMNSP
MH	MHLIB	MMPER	MMPER
MH	MHLIB	MMPDS	MMPDS
MH	MHLIB	MMREF	MMREF
MH	MHLIB	MMRSV	MMRSV
MH	MHLIB	MMSTM	MMSTM
MH	MHLIB	MMSTP	MMSTP
MH	MHLIB	MMVID	MMVID
MH	MHLIB	MQEQU	MQEQU
MH	MHLRC	MLRC	MLRC
MH	MHLRC	MLRCF	MLRCF
MH	MHLRC	MLRCR	MLRCR
MH	MHPSL	MPEQU	MPEQU
MH	MHPSL	MPINS	MPINS
MH	MHPSL	MPMCD	MPMCD
MH	MHPSL	MPOSC	MPOSC
MH	MHPSL	MPPER	MPPER
MH	MHPSL	MPRAT	MPRAT
MH	MHPSL	MPRCD	MPRCD
MH	MHPSL	MPREF	MPREF
MH	MHPSL	MPRSV	MPRSV
MH	MHPSL	MPVID	MPVID
MH	MHSKM	MSKMU	MSKMU
HC	HCASC	HARCH	HARCH
HC	HCASC	HDIV	HDIV
HC	HCASC	HMOSE	HMOSE
HC	HCASC	HSEYD	HSSEY
HC	HCASC	HSPEC	HSPEC
HC	HCMED	HFPEQ	HFPEQ
HC	HCLIB	CHCRC	HCRC
HC	HCLIB	HEQPT	HEQPT
HC	HCLIB	HGAME	HGAME
HC	HCLIB	HMEDV	HDVD
HC	HCLIB	HMICR	HMICR
HC	HCLIB	HMVHS	HVHS
HC	HCLIB	HPER	HPER
HC	HCLIB	HRECC	HRECC
HC	HCLIB	HRECS	HRECS
HC	HCLIB	HREF	HREF
HC	HCLIB	HRESO	HRESO
HC	HCLIB	HRESV	HRESV
HC	HCLIB	HSEED	HSEED
HC	HCLIB	HSEYD	HSEYD
HC	HCLIB	HSKAE	HSKAE
HC	HCLIB	HSTAC	HSTAC
HC	HCLIB	HWRIG	HWRIG
HC	HCMED	HDART	HDART
HC	HCMED	HMED	HMED
HC	HCMED	HMEDF	HMEDF
HC	HCMED	HMEDV	HMEDV
RP	FCANN	FCANI	FCANI
RP	FCDPT	FCDPM	FCDPM
RP	FCDPT	FCDPS	FCDPS
RP	FCDPT	UTHES	UTHES
UM	REN	RCCD	RCCD
UM	REN	RCCDR	RCCDR
UM	REN	RCDB	RCDB
UM	REN	RCDV	RCDV
UM	REN	RCDVD	RCDVD
UM	REN	RCFAC	RCFAC
UM	REN	RCFIN	RCFIN
UM	REN	RCGEN	RCGEN
UM	REN	RCHEX	RCHEX
UM	REN	RCKIN	RCKIN
UM	REN	RCMOR	RCMOR
UM	REN	RCMT	RCMT
UM	REN	RCMTP	RCMTP
UM	REN	RCOS	RCOS
UM	REN	RCRAR	RCRAR
UM	REN	RCVHS	RCVHS
SC	SCANN	SXSTK	SXSTK
SC	SCANN	SXSTL	SXSTL
SC	SCANN	SXTHE	SXTHE
SC	SCHIL	SACDR	SACDR
SC	SCHIL	SALS	SALS
SC	SCHIL	SALSO	SALSO
SC	SCHIL	SAMIC	SAMIC
SC	SCHIL	SAOVP	SAOVP
SC	SCHIL	SAOVR	SAOVR
SC	SCHIL	SAPER	SAPER
SC	SCHIL	SAREF	SAREF
SC	SCHIL	SARES	SARES
SC	SCHIL	SARFO	SARFO
SC	SCHIL	SAROP	SAROP
SC	SCHIL	SASB	SASB
SC	SCHIL	SASTK	SASTK
SC	SCHIL	SASTR	SASTR
SC	SCHIL	SATHE	SATHE
SC	SCHIL	SAVD	SAVD
SC	SCHIL	SCMOA	SCMOA
SC	SCJOS	SJC	SJC
SC	SCJOS	SJCDR	SJCDR
SC	SCJOS	SJCR	SJCR
SC	SCJOS	SJHD	SJHD
SC	SCJOS	SJIN	SJIN
SC	SCJOS	SJMIC	SJMIC
SC	SCJOS	SJMTR	SJMTR
SC	SCJOS	SJO	SJO
SC	SCJOS	SJPER	SJPER
SC	SCJOS	SJR78	SJR78
SC	SCJOS	SJRB	SJRB
SC	SCJOS	SJREC	SJREC
SC	SCJOS	SJRES	SJRES
SC	SCJOS	SJRF	SJRF
SC	SCJOS	SJRFV	SJRFV
SC	SCJOS	SJRFO	SJRFO
SC	SCJOS	SJRFQ	SJRFQ
SC	SCJOS	SJRFT	SJRFT
SC	SCJOS	SJRR	SJRR
SC	SCJOS	SJSB	SJSB
SC	SCJOS	SJSFB	SJSFB
SC	SCJOS	SJSFF	SJSFF
SC	SCJOS	SJSFS	SJSFS
SC	SCJOS	SJSLP	SJSLP
SC	SCJOS	SJSMS	SJSMS
SC	SCJOS	SJSS	SJSS
SC	SCJOS	SJTR	SJTR
SC	SCJOS	SJTRF	SJTRF
SC	SCJOS	SJTU	SJTU
SC	SCJOS	SJVD	SJVD
SC	SCJOS	SJVDV	SJVDV
SC	SCJOS	SJVLD	SJVLD
SC	SCJOS	SJXCD	SJXCD
SC	SCJOS	SJXCF	SJXCF
SC	SCJOS	SJXCS	SJXCS
SC	SCNLS	SNHBK	SNHBK
SC	SCNLS	SNATL	SNATL
SC	SCNLS	SNAUD	SNAUD
SC	SCNLS	SNBUR	SNBUR
SC	SCNLS	SNCAF	SNCAF
SC	SCNLS	SNCAV	SNCAV
SC	SCNLS	SNDVD	SNDVD
SC	SCNLS	SNEAL	SNEAL
SC	SCNLS	SNMSC	SNMSC
SC	SCNLS	SNOVR	SNOVR
SC	SCNLS	SNPOP	SNPOP
SC	SCNLS	SNPER	SNPER
SC	SCNLS	SNPRM	SNPRM
SC	SCNLS	SNPRL	SNPRL
SC	SCNLS	SNREF	SNREF
SC	SCNLS	SNRES	SNRES
SC	SCNLS	SNROP	SNROP
SC	SCNLS	SNSTK	SNSTK
SC	SCNLS	SNTXT	SNTXT
SC	SCNLS	SNWFI	SNWFI
SC	SCSPC	SCA	SCA
SC	SCSPC	SCSSC	SCSSC
SC	SCSPC	SPBRO	SPBRO
SC	SCSPC	SRBR	SRBR
SC	SCSPC	SRBRF	SRBRF
SC	SCWST	STNFL	STNFL
SC	SCWST	STPER	STPER
SC	SCWST	STSTK	STSTK
UM	UMDML	UMDIG	UMDIG
UM	UMDUB	NCIP	NCIP
UM	UMDUB	UCOL	UCOL
UM	UMDUB	UDAVI	UDAVI
UM	UMDUB	UDCDC	UDCDC
UM	UMDUB	UDGEN	UDGEN
UM	UMDUB	UDMAS	UDMAS
UM	UMDUB	UDMF	UDMF
UM	UMDUB	UEA	UEA
UM	UMDUB	UEARC	UEARC
UM	UMDUB	UEARF	UEARF
UM	UMDUB	UEARJ	UEARJ
UM	UMDUB	UEARK	UEARK
UM	UMDUB	UGEN	UMGEN
UM	UMDUB	UJUV	UJUV
UM	UMDUB	ULAS	UMGEN
UM	UMDUB	ULCDK	ULCDK
UM	UMDUB	UMCD	UMCD
UM	UMDUB	UMCR	UMSTOR
UM	UMDUB	UMCVP	UMCVP
UM	UMDUB	UMDVD	UMDVD
UM	UMDUB	UMED	UMED
UM	UMDUB	UMFM	UMSTOR
UM	UMDUB	UMFP	UMSTOR
UM	UMDUB	UMFS	UMSTOR
UM	UMDUB	UMLBW	UMLBW
UM	UMDUB	UMLDS	UMSTOR
UM	UMDUB	UMMCD	UMMCD
UM	UMDUB	UMMDV	UMMDV
UM	UMDUB	UMMED	UMMED
UM	UMDUB	UMMFF	UMSTOR
UM	UMDUB	UMMFG	UMMFG
UM	UMDUB	UMMLP	UMSTOR
UM	UMDUB	UMMON	UMMON
UM	UMDUB	UMMTP	UMSTOR
UM	UMDUB	UMMVD	UMSTOR
UM	UMDUB	UMP	UMP
UM	UMDUB	UMPA	UMPA
UM	UMDUB	UMPCD	UMPCD
UM	UMDUB	UMPRF	UMPRF
UM	UMDUB	UMTPB	UMSTOR
UM	UMDUB	UMVD	UMSTOR
UM	UMDUB	UNEA	UNEA
UM	UMDUB	UNEWP	UMLLR
UM	UMDUB	UPER	UMPER
UM	UMDUB	UPERC	UMLLR
UM	UMDUB	URFM	URFM
UM	UMDUB	URUD	URUD
UM	UMDUB	USCOS	USCOS
UM	UMDUB	USTOL	USTOL
UM	UMDUB	USTOY	UDGEN
UM	UMDUB	USYS	USYS
UM	UMIDA	UICUR	UICUR
UM	UMIDA	UIJUV	UIJUV
UM	UMIDA	UIREG	UIREG
UM	UMIDA	UIRES	UIRES
UM	UMIMA	UGEN	UMIMAGE
UM	UMMDA	UAVE	UMEQP
UM	UMMDA	UCRIC	UCRIC
UM	UMMDA	UDMF	UMSTOR
UM	UMMDA	UEQP	UMEQP
UM	UMMDA	UKEY	UKEY
UM	UMMDA	UMCD	UMCD
UM	UMMDA	UMDVD	UMDVD
UM	UMMDA	UMFIL	UMFIL
UM	UMMDA	UMFM	UMSTOR
UM	UMMDA	UMFS	UMSTOR
UM	UMMDA	UMMCD	UMMCD
UM	UMMDA	UMMFF	UMSTOR
UM	UMMDA	UMMVD	UMSTOR
UM	UMMDA	UMREP	UMREP
UM	UMMDA	UMVD	UMSTOR
UM	UMSCA	UARC	UARC
UM	UMSCA	UMAP	UMAP
UM	UMSCA	USMF	USMF
UM	UMSCA	USPC	USPC
UM	UMSCA	USPCX	USPCX
UM	UMSCA	USPRF	USPRF
UM	UMSCI	UCD	UCD
UM	UMSCI	UEQP	USEQP
UM	UMSCI	UGEN	USGEN
UM	UMSCI	UMFF	UMFF
UM	UMSCI	UNASA	UNASA
UM	UMSCI	UPER	USPER
UM	UMSCI	UPTRC	UPTRC
UM	UMSCI	URF	URF
UM	UMSCI	URFD	URFD
UM	UMSCI	USEED	USEED
UM	UMSCI	USTOS	USTOS
UM	UMDUB	UCDEV	UCDEV
UM	UMDUB	UMANX	UMANX
UM	UMDUB	UMTXK	UMGEN
YB	YMAIN	YSTCK	YSTCK
*	*	*	tech
